trial,pFinf,pFnoninf,pO,past_rew_ch,past_rew_unch,past_Finf_ch,past_Finf_unch,past_Fnoninf_ch,past_Fnoninf_unch,past_O_ch,past_O_unch,subj,rts
37.0,-0.7731898882334817,0.8472978603872034,2.197224577336219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.6080999999999999
38.0,0.7731898882334817,0.8472978603872034,2.197224577336219,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3639.0,0.6425
39.0,0.8472978603872034,0.44183275227903906,1.0986122886681093,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.1137000000000001
40.0,0.8472978603872034,-0.8472978603872034,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.1750999999999998
41.0,0.7731898882334817,0.7731898882334817,1.945910149055313,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.0005
42.0,0.8472978603872034,0.8472978603872034,1.0986122886681093,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.9872000000000001
43.0,-0.7731898882334817,-0.8472978603872034,-2.197224577336219,1.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,3639.0,1.0911
44.0,-0.7731898882334817,-0.7731898882334817,-1.945910149055313,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.7873
45.0,0.3677247801253173,0.3677247801253173,1.945910149055313,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,3639.0,4.6194
46.0,-0.3677247801253173,0.7731898882334817,2.197224577336219,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.7474
47.0,0.7731898882334817,-0.3677247801253173,2.197224577336219,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3639.0,1.0608
48.0,-0.3677247801253173,0.8472978603872034,1.945910149055313,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,4.9521999999999995
49.0,-0.7731898882334817,0.44183275227903906,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,3639.0,0.8242999999999999
50.0,-0.8472978603872034,0.8472978603872034,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,0.7125
51.0,0.7731898882334817,0.44183275227903906,2.197224577336219,1.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,3639.0,2.7247
52.0,0.44183275227903906,-0.44183275227903906,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3639.0,1.0104
53.0,0.8472978603872034,0.7731898882334817,2.197224577336219,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.368
54.0,-0.8472978603872034,-0.44183275227903906,-1.0986122886681093,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.9786
55.0,-0.44183275227903906,0.7731898882334817,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,3639.0,0.6103999999999999
56.0,0.7731898882334817,-0.8472978603872034,-2.197224577336219,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,2.3365
57.0,-0.44183275227903906,-0.7731898882334817,-2.197224577336219,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,3639.0,0.6506000000000001
58.0,-0.3677247801253173,0.3677247801253173,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,0.6451
59.0,-0.3677247801253173,-0.8472978603872034,-2.197224577336219,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,0.8247000000000001
60.0,0.7731898882334817,-0.7731898882334817,0.0,1.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,3639.0,2.1092
61.0,-0.3677247801253173,-0.7731898882334817,-1.945910149055313,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,3639.0,1.9401
62.0,0.3677247801253173,-0.44183275227903906,0.25131442828090617,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,2.0664000000000002
63.0,0.44183275227903906,-0.8472978603872034,0.25131442828090617,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,3639.0,1.6514000000000002
64.0,0.44183275227903906,0.3677247801253173,2.197224577336219,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,3639.0,2.311
65.0,0.7731898882334817,0.44183275227903906,2.197224577336219,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3639.0,1.1088
66.0,0.3677247801253173,0.8472978603872034,2.197224577336219,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,3639.0,0.632
67.0,-0.8472978603872034,0.8472978603872034,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3639.0,0.7469
68.0,0.8472978603872034,0.44183275227903906,1.0986122886681093,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,3639.0,1.0284
69.0,-0.7731898882334817,-0.8472978603872034,-2.197224577336219,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,3639.0,1.5742
70.0,-0.44183275227903906,-0.3677247801253173,-2.197224577336219,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3639.0,1.142
71.0,0.44183275227903906,-0.44183275227903906,0.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3639.0,1.1137000000000001
72.0,-0.44183275227903906,-0.44183275227903906,-1.0986122886681093,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,3639.0,1.4082000000000001
73.0,0.44183275227903906,0.8472978603872034,1.0986122886681093,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,3639.0,0.8992
