pF,pO,subj,bout,prob
-0.7246096134185791,-0.6239480972290039,3639.0,0.0,0.4054651081081642
-0.7670663595199585,0.0025991962756961584,3639.0,0.0,0.4054651081081642
0.48403462767601013,-0.0032456081826239824,3639.0,0.0,1.900958761193047
-0.8063965439796448,-0.3557059168815613,3639.0,0.0,-0.8001193001121131
0.8362770676612854,1.040408730506897,3639.0,0.0,1.9924301646902063
0.9422258734703064,1.0547226667404175,3639.0,0.0,2.313634929180631
-0.8913331627845764,-0.6813982725143433,3639.0,0.0,-1.2083112059245342
-0.8506814241409302,-0.6306189298629761,3639.0,0.0,0.4054651081081642
0.5378152132034302,0.7394051551818848,3639.0,0.0,1.3862943611198908
0.8116466999053955,1.5957378149032593,3639.0,0.0,2.751535313041948
0.4619636833667755,0.3795061707496643,3639.0,0.0,1.3249254147435987
-0.7633306980133057,-0.1922186017036438,3639.0,0.0,-1.9924301646902063
0.8967658281326294,0.3821698725223541,3639.0,0.0,2.9444389791664394
-0.8661548495292664,-0.5259035229682922,3639.0,0.0,-2.197224577336219
-0.825911819934845,-0.171341672539711,3639.0,0.0,0.0
0.5778334140777588,1.2854186296463013,3639.0,0.0,2.313634929180631
-0.1663408875465393,0.0029580905102193356,8397.0,0.0,-0.8953840470548413
-0.6873801350593567,-0.31439974904060364,8397.0,0.0,-1.3862943611198906
-0.24249720573425293,-0.2876754105091095,8397.0,0.0,0.708185057924486
0.3987693190574646,0.47095900774002075,8397.0,0.0,1.4500101755059986
0.333884596824646,0.24965764582157135,8397.0,0.0,0.8472978603872034
-1.3223819732666016,-0.6472367644309998,8397.0,0.0,-1.6582280766035322
-0.4673154950141907,-0.0009627803228795528,8397.0,0.0,-0.04000533461369925
0.5103521347045898,0.8591614961624146,8397.0,0.0,1.0986122886681098
0.2837684452533722,0.6866236925125122,8397.0,0.0,2.442347035369205
0.2200118452310562,0.38799718022346497,8397.0,0.0,1.3249254147435987
-0.9003427624702454,-0.31486862897872925,8397.0,0.0,-0.04000533461369925
-0.8156208992004395,-0.6468641757965088,8397.0,0.0,-1.2656663733312759
0.443956196308136,0.40703973174095154,8397.0,0.0,0.12014431184206341
-0.5705357193946838,0.2148011028766632,8397.0,0.0,-0.9946225751440619
-0.10329935699701309,-0.16034534573554993,8397.0,0.0,0.8953840470548413
-0.3508598506450653,0.24051189422607422,8397.0,0.0,-0.3639653772014119
-0.49042949080467224,-0.3555838465690613,8345.0,0.0,-0.2818511521409879
0.5056354403495789,1.1449092626571655,8345.0,0.0,2.0907410969337694
-0.5310627818107605,-0.20889151096343994,8345.0,0.0,-1.5856272637403817
0.38239485025405884,0.5373939871788025,8345.0,0.0,0.32277339226305085
0.2786094546318054,0.510104238986969,8345.0,0.0,2.0907410969337694
-0.26404401659965515,-0.16962794959545135,8345.0,0.0,0.0
-0.3915671408176422,-0.00031398696592077613,8345.0,0.0,0.4895482253187058
-0.48326727747917175,0.33389022946357727,8345.0,0.0,0.08004270767353656
0.46529027819633484,0.6324288249015808,8345.0,0.0,0.16034265007517948
0.2855358123779297,1.6343680620193481,8345.0,0.0,0.08004270767353656
0.37535783648490906,0.8031827211380005,8345.0,0.0,0.8001193001121129
0.45813173055648804,0.7433367371559143,8345.0,0.0,0.7537718023763803
-0.6170567870140076,-0.3234279453754425,8345.0,0.0,-0.20067069546215124
0.5128754377365112,0.34327825903892517,8345.0,0.0,-0.5753641449035618
-0.7222239375114441,-0.488887220621109,8345.0,0.0,-1.8152899666382492
-0.30982276797294617,0.3753862679004669,8345.0,0.0,-0.2818511521409879
-0.37288060784339905,-0.2669414281845093,979.0,0.0,0.0
-0.12287069112062454,-0.2556847631931305,979.0,0.0,0.8472978603872034
-0.3965948522090912,0.25739553570747375,979.0,0.0,0.0
-0.5484862923622131,-0.14381903409957886,979.0,0.0,0.8472978603872034
-0.6765122413635254,-0.1364940106868744,979.0,0.0,1.3862943611198908
-0.22591497004032135,0.16437913477420807,979.0,0.0,1.0986122886681098
-0.8692486882209778,-0.147181436419487,979.0,0.0,-1.1526795099383855
-0.24905593693256378,-0.0024575365241616964,979.0,0.0,2.442347035369205
-0.8696998953819275,-0.8454049825668335,979.0,0.0,2.313634929180631
-0.6858781576156616,-0.0006990491528995335,979.0,0.0,0.32277339226305085
-0.5285047292709351,-0.7535154819488525,979.0,0.0,0.8001193001121129
-0.5488909482955933,0.11792120337486267,979.0,0.0,1.3862943611198908
-1.0245317220687866,-0.1449708491563797,979.0,0.0,-0.3639653772014119
0.043808747082948685,0.4692039489746094,979.0,0.0,1.900958761193047
-0.12324771285057068,0.3672202229499817,979.0,0.0,2.442347035369205
-0.39698538184165955,0.4112064838409424,979.0,0.0,2.442347035369205
-0.062482163310050964,-0.1139167994260788,953.0,0.0,0.32277339226305085
-0.7115671038627625,-0.22168131172657013,953.0,0.0,0.0
-0.4463444948196411,0.2683729827404022,953.0,0.0,-0.2411620568168881
-0.26878759264945984,0.2301868498325348,953.0,0.0,0.32277339226305085
-0.3096208870410919,0.1285465657711029,953.0,0.0,0.4895482253187058
-0.548537015914917,-0.39361733198165894,953.0,0.0,-0.5753641449035618
-0.6675284504890442,-0.542376697063446,953.0,0.0,-0.2818511521409879
-0.30880284309387207,0.24456292390823364,953.0,0.0,0.0
-0.04955373704433441,0.1449631005525589,953.0,0.0,0.2006706954621514
-0.34988847374916077,-0.0009174978476949036,953.0,0.0,-0.663294217410264
-0.29558733105659485,-0.18122811615467072,953.0,0.0,-0.6190392084062235
-0.15890051424503326,0.3745003640651703,953.0,0.0,0.9444616088408513
